model,num_characters,num_actions,question_type,question,expected,predicted,correct,story_len
gpt-4.1,20,10,mood,How does Tyler feel?,happy,happy,True,1078.0
gpt-4.1,20,10,holding,What is Tyler holding?,nothing,nothing,True,1078.0
gpt-4.1,20,10,location,Where is Oscar?,hallway,hallway,True,1078.0
gpt-4.1,20,10,mood,How does Oscar feel?,sad,sad,True,1078.0
gpt-4.1,20,10,holding,What is Oscar holding?,nothing,nothing,True,1078.0
gpt-4.1,20,10,location,Where is Max?,office,office,True,1078.0
gpt-4.1,20,10,mood,How does Max feel?,curious,curious,True,1078.0
gpt-4.1,20,10,holding,What is Max holding?,book,book,True,1078.0
gpt-4.1,20,10,location,Where is Alice?,bathroom,bathroom,True,1078.0
gpt-4.1,20,10,mood,How does Alice feel?,nervous,nervous,True,1078.0
gpt-4.1,20,10,holding,What is Alice holding?,hat,hat,True,1078.0
gpt-4.1,20,10,location,Where is Peter?,bedroom,bedroom,True,1078.0
gpt-4.1,20,10,mood,How does Peter feel?,sad,sad,True,1078.0
gpt-4.1,20,10,holding,What is Peter holding?,nothing,nothing,True,1078.0
gpt-4.1,20,10,location,Where is Frank?,bathroom,bathroom,True,1078.0
gpt-4.1,20,10,mood,How does Frank feel?,excited,excited,True,1078.0
gpt-4.1,20,10,holding,What is Frank holding?,nothing,nothing,True,1078.0
gpt-4.1,20,10,location,Where is Ivy?,basement,basement,True,1078.0
gpt-4.1,20,10,mood,How does Ivy feel?,confident,confident,True,1078.0
gpt-4.1,20,10,holding,What is Ivy holding?,nothing,nothing,True,1078.0
gpt-4.1,20,10,location,Where is Victor?,basement,basement,True,1078.0
gpt-4.1,20,10,mood,How does Victor feel?,excited,excited,True,1078.0
gpt-4.1,20,10,holding,What is Victor holding?,nothing,nothing,True,1078.0
gpt-4.1,20,10,location,Where is Noah?,basement,basement,True,1078.0
gpt-4.1,20,10,mood,How does Noah feel?,confident,confident,True,1078.0
gpt-4.1,20,10,holding,What is Noah holding?,nothing,nothing,True,1078.0
gpt-4.1,20,10,location,Where is Yara?,hallway,hallway,True,1078.0
gpt-4.1,20,10,mood,How does Yara feel?,happy,happy,True,1078.0
gpt-4.1,20,10,holding,What is Yara holding?,nothing,nothing,True,1078.0
gpt-4.1,20,10,location,Where is Liam?,office,office,True,1078.0
gpt-4.1,20,10,mood,How does Liam feel?,curious,curious,True,1078.0
gpt-4.1,20,10,holding,What is Liam holding?,nothing,nothing,True,1078.0
gpt-4.1,20,10,location,Where is Xavier?,garden,garden,True,1078.0
gpt-4.1,20,10,mood,How does Xavier feel?,excited,excited,True,1078.0
gpt-4.1,20,10,holding,What is Xavier holding?,nothing,nothing,True,1078.0
gpt-4.1,20,10,location,Where is Sophia?,hallway,hallway,True,1078.0
gpt-4.1,20,10,mood,How does Sophia feel?,happy,happy,True,1078.0
gpt-4.1,20,10,holding,What is Sophia holding?,nothing,nothing,True,1078.0
gpt-4.1,20,10,location,Where is Emma?,garden,garden,True,1078.0
gpt-4.1,20,10,mood,How does Emma feel?,confident,confident,True,1078.0
gpt-4.1,20,10,holding,What is Emma holding?,nothing,nothing,True,1078.0
gpt-4.1,20,10,location,Where is David?,library,library,True,1078.0
gpt-4.1,20,10,mood,How does David feel?,confident,confident,True,1078.0
gpt-4.1,20,10,holding,What is David holding?,nothing,nothing,True,1078.0
gpt-4.1,20,10,location,Where is Jack?,office,office,True,1078.0
gpt-4.1,20,10,mood,How does Jack feel?,sad,sad,True,1078.0
gpt-4.1,20,10,holding,What is Jack holding?,nothing,nothing,True,1078.0
gpt-4.1,20,10,location,Where is Zack?,basement,basement,True,1078.0
gpt-4.1,20,10,mood,How does Zack feel?,excited,excited,True,1078.0
gpt-4.1,20,10,holding,What is Zack holding?,nothing,nothing,True,1078.0
gpt-4.1,20,10,location,Where is Mia?,hallway,hallway,True,1078.0
gpt-4.1,20,10,mood,How does Mia feel?,nervous,nervous,True,1078.0
gpt-4.1,20,10,holding,What is Mia holding?,nothing,nothing,True,1078.0
gpt-4.1,20,10,location,Where is Wendy?,basement,basement,True,1073.0
gpt-4.1,20,10,mood,How does Wendy feel?,sad,sad,True,1073.0
gpt-4.1,20,10,holding,What is Wendy holding?,nothing,nothing,True,1073.0
gpt-4.1,20,10,location,Where is Emma?,basement,basement,True,1073.0
gpt-4.1,20,10,mood,How does Emma feel?,nervous,nervous,True,1073.0
gpt-4.1,20,10,holding,What is Emma holding?,nothing,nothing,True,1073.0
gpt-4.1,20,10,location,Where is Yara?,basement,basement,True,1073.0
gpt-4.1,20,10,mood,How does Yara feel?,confident,confident,True,1073.0
gpt-4.1,20,10,holding,What is Yara holding?,nothing,nothing,True,1073.0
gpt-4.1,20,10,location,Where is Victor?,kitchen,kitchen,True,1073.0
gpt-4.1,20,10,mood,How does Victor feel?,excited,excited,True,1073.0
gpt-4.1,20,10,holding,What is Victor holding?,nothing,nothing,True,1073.0
gpt-4.1,20,10,location,Where is Olivia?,bedroom,bedroom,True,1073.0
gpt-4.1,20,10,mood,How does Olivia feel?,curious,curious,True,1073.0
gpt-4.1,20,10,holding,What is Olivia holding?,nothing,nothing,True,1073.0
gpt-4.1,20,10,location,Where is Tina?,bathroom,bathroom,True,1073.0
gpt-4.1,20,10,mood,How does Tina feel?,calm,calm,True,1073.0
gpt-4.1,20,10,holding,What is Tina holding?,book,book,True,1073.0
gpt-4.1,20,10,location,Where is Ivy?,library,library,True,1073.0
gpt-4.1,20,10,mood,How does Ivy feel?,confident,confident,True,1073.0
gpt-4.1,20,10,holding,What is Ivy holding?,nothing,nothing,True,1073.0
gpt-4.1,20,10,location,Where is Max?,hallway,hallway,True,1073.0
gpt-4.1,20,10,mood,How does Max feel?,calm,calm,True,1073.0
gpt-4.1,20,10,holding,What is Max holding?,nothing,nothing,True,1073.0
gpt-4.1,20,10,location,Where is Uma?,garden,garden,True,1073.0
gpt-4.1,20,10,mood,How does Uma feel?,calm,calm,True,1073.0
gpt-4.1,20,10,holding,What is Uma holding?,nothing,nothing,True,1073.0
gpt-4.1,20,10,location,Where is Alice?,bedroom,bedroom,True,1073.0
gpt-4.1,20,10,mood,How does Alice feel?,nervous,nervous,True,1073.0
gpt-4.1,20,10,holding,What is Alice holding?,nothing,nothing,True,1073.0
gpt-4.1,20,10,location,Where is Luna?,bathroom,bathroom,True,1073.0
gpt-4.1,20,10,mood,How does Luna feel?,nervous,nervous,True,1073.0
gpt-4.1,20,10,holding,What is Luna holding?,nothing,nothing,True,1073.0
gpt-4.1,20,10,location,Where is Ruby?,library,library,True,1073.0
gpt-4.1,20,10,mood,How does Ruby feel?,nervous,nervous,True,1073.0
gpt-4.1,20,10,holding,What is Ruby holding?,nothing,nothing,True,1073.0
gpt-4.1,20,10,location,Where is Jack?,basement,basement,True,1073.0
gpt-4.1,20,10,mood,How does Jack feel?,calm,calm,True,1073.0
gpt-4.1,20,10,holding,What is Jack holding?,nothing,nothing,True,1073.0
gpt-4.1,20,10,location,Where is Grace?,basement,basement,True,1073.0
gpt-4.1,20,10,mood,How does Grace feel?,tired,tired,True,1073.0
gpt-4.1,20,10,holding,What is Grace holding?,nothing,nothing,True,1073.0
gpt-4.1,20,10,location,Where is Carol?,office,office,True,1073.0
gpt-4.1,20,10,mood,How does Carol feel?,excited,excited,True,1073.0
gpt-4.1,20,10,holding,What is Carol holding?,nothing,nothing,True,1073.0
gpt-4.1,20,10,location,Where is Kate?,library,library,True,1073.0
gpt-4.1,20,10,mood,How does Kate feel?,nervous,nervous,True,1073.0
gpt-4.1,20,10,holding,What is Kate holding?,nothing,nothing,True,1073.0
gpt-4.1,20,10,location,Where is Bob?,kitchen,kitchen,True,1073.0
gpt-4.1,20,10,mood,How does Bob feel?,calm,calm,True,1073.0
gpt-4.1,20,10,holding,What is Bob holding?,nothing,nothing,True,1073.0
gpt-4.1,20,10,location,Where is Rachel?,bathroom,bathroom,True,1073.0
gpt-4.1,20,10,mood,How does Rachel feel?,confident,confident,True,1073.0
gpt-4.1,20,10,holding,What is Rachel holding?,nothing,nothing,True,1073.0
gpt-4.1,20,10,location,Where is Mia?,kitchen,kitchen,True,1073.0
gpt-4.1,20,10,mood,How does Mia feel?,nervous,nervous,True,1073.0
gpt-4.1,20,10,holding,What is Mia holding?,phone,phone,True,1073.0
gpt-4.1,20,10,location,Where is David?,office,office,True,1073.0
gpt-4.1,20,10,mood,How does David feel?,sad,sad,True,1073.0
gpt-4.1,20,10,holding,What is David holding?,nothing,nothing,True,1073.0
gpt-4.1,20,10,location,Where is Xavier?,garden,garden,True,1077.0
gpt-4.1,20,10,mood,How does Xavier feel?,sad,sad,True,1077.0
gpt-4.1,20,10,holding,What is Xavier holding?,nothing,nothing,True,1077.0
gpt-4.1,20,10,location,Where is Frank?,basement,basement,True,1077.0
gpt-4.1,20,10,mood,How does Frank feel?,tired,tired,True,1077.0
gpt-4.1,20,10,holding,What is Frank holding?,nothing,nothing,True,1077.0
gpt-4.1,20,10,location,Where is Rachel?,bathroom,bathroom,True,1077.0
gpt-4.1,20,10,mood,How does Rachel feel?,happy,happy,True,1077.0
gpt-4.1,20,10,holding,What is Rachel holding?,nothing,nothing,True,1077.0
gpt-4.1,20,10,location,Where is Henry?,hallway,hallway,True,1077.0
gpt-4.1,20,10,mood,How does Henry feel?,nervous,nervous,True,1077.0
gpt-4.1,20,10,holding,What is Henry holding?,nothing,nothing,True,1077.0
gpt-4.1,20,10,location,Where is Sam?,basement,basement,True,1077.0
gpt-4.1,20,10,mood,How does Sam feel?,happy,happy,True,1077.0
gpt-4.1,20,10,holding,What is Sam holding?,nothing,nothing,True,1077.0
gpt-4.1,20,10,location,Where is Wendy?,garden,garden,True,1077.0
gpt-4.1,20,10,mood,How does Wendy feel?,confident,confident,True,1077.0
gpt-4.1,20,10,holding,What is Wendy holding?,nothing,nothing,True,1077.0
gpt-4.1,20,10,location,Where is Grace?,bathroom,bathroom,True,1077.0
gpt-4.1,20,10,mood,How does Grace feel?,calm,calm,True,1077.0
gpt-4.1,20,10,holding,What is Grace holding?,nothing,nothing,True,1077.0
gpt-4.1,20,10,location,Where is Carol?,bedroom,bedroom,True,1077.0
gpt-4.1,20,10,mood,How does Carol feel?,curious,curious,True,1077.0
gpt-4.1,20,10,holding,What is Carol holding?,nothing,nothing,True,1077.0
gpt-4.1,20,10,location,Where is Victor?,kitchen,kitchen,True,1077.0
gpt-4.1,20,10,mood,How does Victor feel?,confident,confident,True,1077.0
gpt-4.1,20,10,holding,What is Victor holding?,nothing,nothing,True,1077.0
gpt-4.1,20,10,location,Where is Jack?,kitchen,kitchen,True,1077.0
gpt-4.1,20,10,mood,How does Jack feel?,tired,tired,True,1077.0
gpt-4.1,20,10,holding,What is Jack holding?,nothing,nothing,True,1077.0
gpt-4.1,20,10,location,Where is Luna?,office,office,True,1077.0
gpt-4.1,20,10,mood,How does Luna feel?,happy,happy,True,1077.0
gpt-4.1,20,10,holding,What is Luna holding?,nothing,nothing,True,1077.0
gpt-4.1,20,10,location,Where is Noah?,garden,garden,True,1077.0
gpt-4.1,20,10,mood,How does Noah feel?,confident,confident,True,1077.0
gpt-4.1,20,10,holding,What is Noah holding?,nothing,nothing,True,1077.0
gpt-4.1,20,10,location,Where is Ivy?,basement,basement,True,1077.0
gpt-4.1,20,10,mood,How does Ivy feel?,calm,calm,True,1077.0
gpt-4.1,20,10,holding,What is Ivy holding?,nothing,nothing,True,1077.0
gpt-4.1,20,10,location,Where is Quinn?,library,library,True,1077.0
gpt-4.1,20,10,mood,How does Quinn feel?,nervous,nervous,True,1077.0
gpt-4.1,20,10,holding,What is Quinn holding?,nothing,nothing,True,1077.0
gpt-4.1,20,10,location,Where is Sophia?,office,office,True,1077.0
gpt-4.1,20,10,mood,How does Sophia feel?,happy,happy,True,1077.0
gpt-4.1,20,10,holding,What is Sophia holding?,nothing,nothing,True,1077.0
gpt-4.1,20,10,location,Where is Bob?,basement,basement,True,1077.0
gpt-4.1,20,10,mood,How does Bob feel?,curious,curious,True,1077.0
gpt-4.1,20,10,holding,What is Bob holding?,nothing,nothing,True,1077.0
gpt-4.1,20,10,location,Where is Alice?,hallway,hallway,True,1077.0
gpt-4.1,20,10,mood,How does Alice feel?,confident,confident,True,1077.0
gpt-4.1,20,10,holding,What is Alice holding?,nothing,nothing,True,1077.0
gpt-4.1,20,10,location,Where is Zack?,basement,basement,True,1077.0
gpt-4.1,20,10,mood,How does Zack feel?,sad,sad,True,1077.0
gpt-4.1,20,10,holding,What is Zack holding?,nothing,nothing,True,1077.0
gpt-4.1,20,10,location,Where is Olivia?,garden,garden,True,1077.0
gpt-4.1,20,10,mood,How does Olivia feel?,confident,confident,True,1077.0
gpt-4.1,20,10,holding,What is Olivia holding?,phone,phone,True,1077.0
gpt-4.1,20,10,location,Where is David?,bathroom,bathroom,True,1077.0
gpt-4.1,20,10,mood,How does David feel?,happy,happy,True,1077.0
gpt-4.1,20,10,holding,What is David holding?,nothing,nothing,True,1077.0
gpt-4.1,20,20,location,Where is Wendy?,basement,basement,True,1289.0
gpt-4.1,20,20,mood,How does Wendy feel?,tired,tired,True,1289.0
gpt-4.1,20,20,holding,What is Wendy holding?,nothing,nothing,True,1289.0
gpt-4.1,20,20,location,Where is Oscar?,hallway,hallway,True,1289.0
gpt-4.1,20,20,mood,How does Oscar feel?,confident,confident,True,1289.0
gpt-4.1,20,20,holding,What is Oscar holding?,nothing,nothing,True,1289.0
gpt-4.1,20,20,location,Where is Ruby?,garden,garden,True,1289.0
gpt-4.1,20,20,mood,How does Ruby feel?,curious,curious,True,1289.0
gpt-4.1,20,20,holding,What is Ruby holding?,nothing,nothing,True,1289.0
gpt-4.1,20,20,location,Where is Quinn?,basement,basement,True,1289.0
gpt-4.1,20,20,mood,How does Quinn feel?,sad,sad,True,1289.0
gpt-4.1,20,20,holding,What is Quinn holding?,bag,bag,True,1289.0
gpt-4.1,20,20,location,Where is Alice?,garden,garden,True,1289.0
gpt-4.1,20,20,mood,How does Alice feel?,curious,curious,True,1289.0
gpt-4.1,20,20,holding,What is Alice holding?,nothing,nothing,True,1289.0
gpt-4.1,20,20,location,Where is Jack?,basement,basement,True,1289.0
gpt-4.1,20,20,mood,How does Jack feel?,happy,happy,True,1289.0
gpt-4.1,20,20,holding,What is Jack holding?,nothing,nothing,True,1289.0
gpt-4.1,20,20,location,Where is Bob?,office,office,True,1289.0
gpt-4.1,20,20,mood,How does Bob feel?,nervous,nervous,True,1289.0
gpt-4.1,20,20,holding,What is Bob holding?,nothing,nothing,True,1289.0
gpt-4.1,20,20,location,Where is Mia?,office,office,True,1289.0
gpt-4.1,20,20,mood,How does Mia feel?,happy,happy,True,1289.0
gpt-4.1,20,20,holding,What is Mia holding?,nothing,nothing,True,1289.0
gpt-4.1,20,20,location,Where is Zack?,bathroom,bathroom,True,1289.0
gpt-4.1,20,20,mood,How does Zack feel?,nervous,nervous,True,1289.0
gpt-4.1,20,20,holding,What is Zack holding?,nothing,nothing,True,1289.0
gpt-4.1,20,20,location,Where is Peter?,bathroom,bathroom,True,1289.0
gpt-4.1,20,20,mood,How does Peter feel?,nervous,nervous,True,1289.0
gpt-4.1,20,20,holding,What is Peter holding?,key,key,True,1289.0
gpt-4.1,20,20,location,Where is Grace?,bathroom,bathroom,True,1289.0
gpt-4.1,20,20,mood,How does Grace feel?,calm,calm,True,1289.0
gpt-4.1,20,20,holding,What is Grace holding?,nothing,nothing,True,1289.0
gpt-4.1,20,20,location,Where is Frank?,hallway,hallway,True,1289.0
gpt-4.1,20,20,mood,How does Frank feel?,confident,confident,True,1289.0
gpt-4.1,20,20,holding,What is Frank holding?,nothing,nothing,True,1289.0
gpt-4.1,20,20,location,Where is Yara?,hallway,hallway,True,1289.0
gpt-4.1,20,20,mood,How does Yara feel?,calm,calm,True,1289.0
gpt-4.1,20,20,holding,What is Yara holding?,nothing,nothing,True,1289.0
gpt-4.1,20,20,location,Where is Uma?,office,office,True,1289.0
gpt-4.1,20,20,mood,How does Uma feel?,excited,excited,True,1289.0
gpt-4.1,20,20,holding,What is Uma holding?,bag,bag,True,1289.0
gpt-4.1,20,20,location,Where is Emma?,office,office,True,1289.0
gpt-4.1,20,20,mood,How does Emma feel?,nervous,nervous,True,1289.0
gpt-4.1,20,20,holding,What is Emma holding?,nothing,nothing,True,1289.0
gpt-4.1,20,20,location,Where is Olivia?,garden,garden,True,1289.0
gpt-4.1,20,20,mood,How does Olivia feel?,sad,sad,True,1289.0
gpt-4.1,20,20,holding,What is Olivia holding?,bag,bag,True,1289.0
gpt-4.1,20,20,location,Where is Liam?,hallway,hallway,True,1289.0
gpt-4.1,20,20,mood,How does Liam feel?,curious,curious,True,1289.0
gpt-4.1,20,20,holding,What is Liam holding?,apple,apple,True,1289.0
gpt-4.1,20,20,location,Where is Victor?,hallway,hallway,True,1289.0
gpt-4.1,20,20,mood,How does Victor feel?,nervous,nervous,True,1289.0
gpt-4.1,20,20,holding,What is Victor holding?,nothing,nothing,True,1289.0
gpt-4.1,20,20,location,Where is Xavier?,hallway,hallway,True,1289.0
gpt-4.1,20,20,mood,How does Xavier feel?,happy,happy,True,1289.0
gpt-4.1,20,20,holding,What is Xavier holding?,nothing,nothing,True,1289.0
gpt-4.1,20,20,location,Where is Noah?,bathroom,bathroom,True,1289.0
gpt-4.1,20,20,mood,How does Noah feel?,nervous,nervous,True,1289.0
gpt-4.1,20,20,holding,What is Noah holding?,nothing,nothing,True,1289.0
gpt-4.1,20,20,location,Where is Grace?,hallway,hallway,True,1275.0
gpt-4.1,20,20,mood,How does Grace feel?,sad,sad,True,1275.0
gpt-4.1,20,20,holding,What is Grace holding?,nothing,nothing,True,1275.0
gpt-4.1,20,20,location,Where is Noah?,bedroom,bedroom,True,1275.0
gpt-4.1,20,20,mood,How does Noah feel?,curious,curious,True,1275.0
gpt-4.1,20,20,holding,What is Noah holding?,nothing,nothing,True,1275.0
gpt-4.1,20,20,location,Where is Mia?,library,library,True,1275.0
gpt-4.1,20,20,mood,How does Mia feel?,tired,tired,True,1275.0
gpt-4.1,20,20,holding,What is Mia holding?,nothing,nothing,True,1275.0
gpt-4.1,20,20,location,Where is Oscar?,library,library,True,1275.0
gpt-4.1,20,20,mood,How does Oscar feel?,excited,excited,True,1275.0
gpt-4.1,20,20,holding,What is Oscar holding?,nothing,nothing,True,1275.0
gpt-4.1,20,20,location,Where is Henry?,bathroom,bathroom,True,1275.0
gpt-4.1,20,20,mood,How does Henry feel?,excited,excited,True,1275.0
gpt-4.1,20,20,holding,What is Henry holding?,nothing,nothing,True,1275.0
gpt-4.1,20,20,location,Where is Kate?,hallway,hallway,True,1275.0
gpt-4.1,20,20,mood,How does Kate feel?,sad,sad,True,1275.0
gpt-4.1,20,20,holding,What is Kate holding?,nothing,nothing,True,1275.0
gpt-4.1,20,20,location,Where is Quinn?,bathroom,bathroom,True,1275.0
gpt-4.1,20,20,mood,How does Quinn feel?,sad,sad,True,1275.0
gpt-4.1,20,20,holding,What is Quinn holding?,apple,apple,True,1275.0
gpt-4.1,20,20,location,Where is Bob?,office,office,True,1275.0
gpt-4.1,20,20,mood,How does Bob feel?,excited,excited,True,1275.0
gpt-4.1,20,20,holding,What is Bob holding?,nothing,nothing,True,1275.0
gpt-4.1,20,20,location,Where is Carol?,library,library,True,1275.0
gpt-4.1,20,20,mood,How does Carol feel?,excited,excited,True,1275.0
gpt-4.1,20,20,holding,What is Carol holding?,nothing,nothing,True,1275.0
gpt-4.1,20,20,location,Where is Ruby?,garden,garden,True,1275.0
gpt-4.1,20,20,mood,How does Ruby feel?,tired,tired,True,1275.0
gpt-4.1,20,20,holding,What is Ruby holding?,hat,hat,True,1275.0
gpt-4.1,20,20,location,Where is Xavier?,kitchen,kitchen,True,1275.0
gpt-4.1,20,20,mood,How does Xavier feel?,curious,curious,True,1275.0
gpt-4.1,20,20,holding,What is Xavier holding?,nothing,nothing,True,1275.0
gpt-4.1,20,20,location,Where is Jack?,library,library,True,1275.0
gpt-4.1,20,20,mood,How does Jack feel?,calm,calm,True,1275.0
gpt-4.1,20,20,holding,What is Jack holding?,nothing,nothing,True,1275.0
gpt-4.1,20,20,location,Where is Victor?,basement,basement,True,1275.0
gpt-4.1,20,20,mood,How does Victor feel?,sad,sad,True,1275.0
gpt-4.1,20,20,holding,What is Victor holding?,nothing,nothing,True,1275.0
gpt-4.1,20,20,location,Where is Liam?,garden,garden,True,1275.0
gpt-4.1,20,20,mood,How does Liam feel?,confident,confident,True,1275.0
gpt-4.1,20,20,holding,What is Liam holding?,nothing,nothing,True,1275.0
gpt-4.1,20,20,location,Where is Peter?,basement,basement,True,1275.0
gpt-4.1,20,20,mood,How does Peter feel?,confident,confident,True,1275.0
gpt-4.1,20,20,holding,What is Peter holding?,nothing,nothing,True,1275.0
gpt-4.1,20,20,location,Where is Olivia?,office,office,True,1275.0
gpt-4.1,20,20,mood,How does Olivia feel?,excited,excited,True,1275.0
gpt-4.1,20,20,holding,What is Olivia holding?,nothing,nothing,True,1275.0
gpt-4.1,20,20,location,Where is Tina?,office,office,True,1275.0
gpt-4.1,20,20,mood,How does Tina feel?,calm,calm,True,1275.0
gpt-4.1,20,20,holding,What is Tina holding?,ball,ball,True,1275.0
gpt-4.1,20,20,location,Where is Wendy?,library,library,True,1275.0
gpt-4.1,20,20,mood,How does Wendy feel?,tired,tired,True,1275.0
gpt-4.1,20,20,holding,What is Wendy holding?,nothing,nothing,True,1275.0
gpt-4.1,20,20,location,Where is Zack?,garden,garden,True,1275.0
gpt-4.1,20,20,mood,How does Zack feel?,tired,tired,True,1275.0
gpt-4.1,20,20,holding,What is Zack holding?,umbrella,umbrella,True,1275.0
gpt-4.1,20,20,location,Where is Max?,kitchen,kitchen,True,1275.0
gpt-4.1,20,20,mood,How does Max feel?,tired,tired,True,1275.0
gpt-4.1,20,20,holding,What is Max holding?,nothing,nothing,True,1275.0
gpt-4.1,20,20,location,Where is Frank?,hallway,hallway,True,1302.0
gpt-4.1,20,20,mood,How does Frank feel?,curious,curious,True,1302.0
gpt-4.1,20,20,holding,What is Frank holding?,nothing,nothing,True,1302.0
gpt-4.1,20,20,location,Where is Max?,library,library,True,1302.0
gpt-4.1,20,20,mood,How does Max feel?,sad,sad,True,1302.0
gpt-4.1,20,20,holding,What is Max holding?,nothing,nothing,True,1302.0
gpt-4.1,20,20,location,Where is Rachel?,kitchen,kitchen,True,1302.0
gpt-4.1,20,20,mood,How does Rachel feel?,sad,sad,True,1302.0
gpt-4.1,20,20,holding,What is Rachel holding?,nothing,nothing,True,1302.0
gpt-4.1,20,20,location,Where is Tyler?,basement,basement,True,1302.0
gpt-4.1,20,20,mood,How does Tyler feel?,confident,confident,True,1302.0
gpt-4.1,20,20,holding,What is Tyler holding?,nothing,nothing,True,1302.0
gpt-4.1,20,20,location,Where is Tina?,bedroom,bedroom,True,1302.0
gpt-4.1,20,20,mood,How does Tina feel?,nervous,nervous,True,1302.0
gpt-4.1,20,20,holding,What is Tina holding?,nothing,nothing,True,1302.0
gpt-4.1,20,20,location,Where is Kate?,bedroom,bedroom,True,1302.0
gpt-4.1,20,20,mood,How does Kate feel?,tired,tired,True,1302.0
gpt-4.1,20,20,holding,What is Kate holding?,book,book,True,1302.0
gpt-4.1,20,20,location,Where is Alice?,bathroom,bathroom,True,1302.0
gpt-4.1,20,20,mood,How does Alice feel?,happy,happy,True,1302.0
gpt-4.1,20,20,holding,What is Alice holding?,apple,apple,True,1302.0
gpt-4.1,20,20,location,Where is Ruby?,basement,basement,True,1302.0
gpt-4.1,20,20,mood,How does Ruby feel?,excited,excited,True,1302.0
gpt-4.1,20,20,holding,What is Ruby holding?,nothing,nothing,True,1302.0
gpt-4.1,20,20,location,Where is Peter?,library,library,True,1302.0
gpt-4.1,20,20,mood,How does Peter feel?,sad,sad,True,1302.0
gpt-4.1,20,20,holding,What is Peter holding?,coin,coin,True,1302.0
gpt-4.1,20,20,location,Where is Xavier?,bedroom,bedroom,True,1302.0
gpt-4.1,20,20,mood,How does Xavier feel?,tired,tired,True,1302.0
gpt-4.1,20,20,holding,What is Xavier holding?,ball,ball,True,1302.0
gpt-4.1,20,20,location,Where is Bob?,bedroom,bedroom,True,1302.0
gpt-4.1,20,20,mood,How does Bob feel?,happy,happy,True,1302.0
gpt-4.1,20,20,holding,What is Bob holding?,nothing,nothing,True,1302.0
gpt-4.1,20,20,location,Where is Zack?,office,office,True,1302.0
gpt-4.1,20,20,mood,How does Zack feel?,sad,sad,True,1302.0
gpt-4.1,20,20,holding,What is Zack holding?,nothing,nothing,True,1302.0
gpt-4.1,20,20,location,Where is Grace?,basement,basement,True,1302.0
gpt-4.1,20,20,mood,How does Grace feel?,excited,excited,True,1302.0
gpt-4.1,20,20,holding,What is Grace holding?,nothing,nothing,True,1302.0
gpt-4.1,20,20,location,Where is Mia?,kitchen,kitchen,True,1302.0
gpt-4.1,20,20,mood,How does Mia feel?,confident,confident,True,1302.0
gpt-4.1,20,20,holding,What is Mia holding?,nothing,nothing,True,1302.0
gpt-4.1,20,20,location,Where is Uma?,garden,garden,True,1302.0
gpt-4.1,20,20,mood,How does Uma feel?,confident,confident,True,1302.0
gpt-4.1,20,20,holding,What is Uma holding?,nothing,nothing,True,1302.0
gpt-4.1,20,20,location,Where is Noah?,kitchen,kitchen,True,1302.0
gpt-4.1,20,20,mood,How does Noah feel?,happy,happy,True,1302.0
gpt-4.1,20,20,holding,What is Noah holding?,nothing,nothing,True,1302.0
gpt-4.1,20,20,location,Where is David?,hallway,hallway,True,1302.0
gpt-4.1,20,20,mood,How does David feel?,excited,excited,True,1302.0
gpt-4.1,20,20,holding,What is David holding?,nothing,nothing,True,1302.0
gpt-4.1,20,20,location,Where is Liam?,garden,garden,True,1302.0
gpt-4.1,20,20,mood,How does Liam feel?,nervous,nervous,True,1302.0
gpt-4.1,20,20,holding,What is Liam holding?,nothing,nothing,True,1302.0
gpt-4.1,20,20,location,Where is Oscar?,office,office,True,1302.0
gpt-4.1,20,20,mood,How does Oscar feel?,confident,confident,True,1302.0
gpt-4.1,20,20,holding,What is Oscar holding?,nothing,nothing,True,1302.0
gpt-4.1,20,20,location,Where is Henry?,kitchen,kitchen,True,1302.0
gpt-4.1,20,20,mood,How does Henry feel?,nervous,nervous,True,1302.0
gpt-4.1,20,20,holding,What is Henry holding?,nothing,nothing,True,1302.0
gpt-3.5-turbo,2,5,location,Where is Alice?,bathroom,bathroom,True,199.0
gpt-3.5-turbo,2,5,mood,How does Alice feel?,calm,calm,True,199.0
gpt-3.5-turbo,2,5,holding,What is Alice holding?,nothing,nothing,True,199.0
gpt-3.5-turbo,2,5,location,Where is Peter?,kitchen,kitchen,True,199.0
gpt-3.5-turbo,2,5,mood,How does Peter feel?,sad,sad,True,199.0
gpt-3.5-turbo,2,5,holding,What is Peter holding?,nothing,kitchen,False,199.0
gpt-3.5-turbo,2,5,location,Where is Liam?,garden,garden,True,175.0
gpt-3.5-turbo,2,5,mood,How does Liam feel?,happy,happy,True,175.0
gpt-3.5-turbo,2,5,holding,What is Liam holding?,nothing,ball,False,175.0
gpt-3.5-turbo,2,5,location,Where is Uma?,kitchen,sad,False,175.0
gpt-3.5-turbo,2,5,mood,How does Uma feel?,sad,sad,True,175.0
gpt-3.5-turbo,2,5,holding,What is Uma holding?,nothing,nothing,True,175.0
gpt-3.5-turbo,2,5,location,Where is Jack?,hallway,bathroom,False,195.0
gpt-3.5-turbo,2,5,mood,How does Jack feel?,calm,calm,True,195.0
gpt-3.5-turbo,2,5,holding,What is Jack holding?,coin,coin,True,195.0
gpt-3.5-turbo,2,5,location,Where is Frank?,bathroom,bathroom,True,195.0
gpt-3.5-turbo,2,5,mood,How does Frank feel?,confident,confident,True,195.0
